,Model,accuracy,precision,rappel,f1,roc
0,Regression logistique,0.826955074875208,0.8223140495867769,0.8085048754062839,0.8153509969953564,0.8259947332624723
1,K plus proches voisins,0.8282349929604506,0.8083989501312336,0.8342361863488624,0.8211143695014663,0.8285473579159989
2,Decision Tree,0.8634327403046205,0.864684634620728,0.8429035752979415,0.8536551913317789,0.8623641875519069
3,Random Forest,0.9991040573403303,0.9986468200270636,0.9994582881906826,0.9990523893326114,0.9991224952237082
4,XGBoost,0.8926148726481505,0.8612306913142568,0.921180931744312,0.8901976181128124,0.8941017495411684
